column	class	nn	uniquevals	isnum	frc_int	n_nonmissing	n_missing	frc_missing	n_nonrepeat	frc_nonrepeat	top3	frc_mostcommon	md5	c_empty	c_uninformative	c_ordinal	c_tm	c_tf	c_numeric	c_factor	c_safe	c_safetf	c_safenumeric	c_complex	c_reistetter	c_schmidt	c_lin	c_notin2013	c_domainexpert	c_pct	c_total	c_byarea	c_per1k	c_median	c_medianhh	c_meanhh	c_percap	c_factorarea	c_SDI	c_ADI
ACS_PCT_COMMT_29MIN	numeric	1711	1711	TRUE	0	1711	0	0	1711	1	"""36.573""; ""40.232""; ""41.059"""	0.000584453535944	1798f4b0ba6e24eb7f3241b8ed4145f8	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE						TRUE										
ACS_PCT_COMMT_59MIN	numeric	1711	1708	TRUE	0.000584453535944	1711	0	0	1705	0.996493278784337	"""182.209""; ""201.661""; ""299.761"""	0.001168907071888	3a77e08001d31bd202f34e4030e34bd8	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE						TRUE										
ACS_PCT_COMMT_60MINUP	numeric	1711	1703	TRUE	0.000584453535944	1711	0	0	1695	0.990648743424898	"""62.658""; ""73.647""; ""74.289"""	0.001168907071888	991e003456d7793a0b3e3be9c0d2bae6	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE						TRUE										
ACS_PCT_PUB_COMMT_15MIN	numeric	1711	1297	TRUE	0.238457042665108	1711	0	0	1266	0.739918176504968	"""0""; ""100""; ""200"""	0.137346580946815	6d0868795a9859d14b21f543bbe975c4	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE						TRUE										
ACS_PCT_PUB_COMMT_29MIN	numeric	1711	1366	TRUE	0.182349503214494	1711	0	0	1331	0.777907656341321	"""0""; ""100""; ""200"""	0.103448275862069	a364ad4d003b261aa648a2a5c9637e36	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE						TRUE										
ACS_PCT_PUB_COMMT_59MIN	numeric	1711	1386	TRUE	0.180596142606663	1711	0	0	1355	0.791934541203974	"""0""; ""100""; ""200"""	0.093512565751023	e52c233d4ed41cb3fef366b828fddf81	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE						TRUE										
ACS_PCT_PUB_COMMT_60MINUP	numeric	1711	1375	TRUE	0.187609585037989	1711	0	0	1359	0.79427235534775	"""0""; ""100""; ""200"""	0.082407948568089	5a5028d84fb55273bd3c4445d3a4b204	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE						TRUE										
ACS_PCT_MEDICAID_ANY	numeric	1711	1708	TRUE	0.000584453535944	1711	0	0	1705	0.996493278784337	"""100.063""; ""114.913""; ""150.413"""	0.001168907071888	8c65410b5c57a87b882e4396f992cf3c	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE						TRUE										
ACS_PCT_MEDICARE_ONLY	numeric	1711	1701	TRUE	0.000584453535944	1711	0	0	1691	0.988310929281122	"""22.277""; ""27.166""; ""32.223"""	0.001168907071888	040bc45db2ba904ddcd2ab7613a0065e	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE				TRUE	TRUE										
ACS_PCT_PRIVATE_ANY	numeric	1711	1710	TRUE	0	1711	0	0	1709	0.998831092928112	"""592.348""; ""61.711""; ""70.236"""	0.001168907071888	a4c8a5f4b975e174edb2c6af6e270fc4	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE						TRUE										
ACS_PCT_UNINSURED	numeric	1711	1705	TRUE	0	1711	0	0	1699	0.992986557568673	"""25.582""; ""79.575""; ""100.292"""	0.001168907071888	2d71bcd6cf9c916a51d3faef74611f03	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE				TRUE	TRUE										
ACS_PCT_PRIVATE_EMPL	numeric	1711	1710	TRUE	0.000584453535944	1711	0	0	1709	0.998831092928112	"""446.595""; ""50.219""; ""55.293"""	0.001168907071888	39b15a2daa1aff935cf7389a934f78df	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE						TRUE										
ACS_PCT_PRIVATE_SELF	numeric	1711	1704	TRUE	0.001168907071888	1711	0	0	1697	0.991817650496785	"""10.639""; ""31.231""; ""35.555"""	0.001168907071888	65eef6208b4c972f288304f1a6c5b91f	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE						TRUE										
ACS_PCT_PRIVATE_2	numeric	1711	1693	TRUE	0.001168907071888	1711	0	0	1675	0.97895967270602	"""3.092""; ""4.634""; ""6.799"""	0.001168907071888	f6053542b0fac0e1917bdfad95b22e84	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE						TRUE										
ACS_PCT_PRIVATE_OTHER	numeric	1711	1590	TRUE	0.018702513150205	1711	0	0	1503	0.87843366452367	"""0""; ""0.614""; ""1.07"""	0.016949152542373	dde9c95f66178760a0bcad637f808452	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE						TRUE										
ACS_PCT_PRIVATE_MDCR	numeric	1711	1704	TRUE	0.000584453535944	1711	0	0	1697	0.991817650496785	"""2.904""; ""4.525""; ""16.852"""	0.001168907071888	b26a5eebe0af836167d848b665299900	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE						TRUE										
ACS_PCT_SELF_MDCR	numeric	1711	1701	TRUE	0.000584453535944	1711	0	0	1691	0.988310929281122	"""15.37""; ""32.069""; ""37.839"""	0.001168907071888	d9621dfaafd4b4400bd54c444d468d78	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE						TRUE										
ACS_PCT_TRICARE_VA	numeric	1711	1674	TRUE	0.002337814143776	1711	0	0	1638	0.957334891876096	"""0""; ""1.149""; ""3.03"""	0.001753360607832	70c9f23bb349c087a484b025922ad178	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE						TRUE										
ACS_PCT_PUBLIC_OTHER	numeric	1711	1650	TRUE	0.002922267679719	1711	0	0	1592	0.930450029222677	"""0""; ""2.325""; ""6.22"""	0.001753360607832	ed2dc28704949b5c8cb9c979e8f75512	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE						TRUE										
ACS_PCT_OTHER_INS	numeric	1711	1707	TRUE	0.000584453535944	1711	0	0	1703	0.995324371712449	"""32.958""; ""39.907""; ""42.853"""	0.001168907071888	f26da900a36c8d1e2f652dc9a615a4f8	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE				TRUE	TRUE										
ACS_PCT_PUBLIC_ONLY	numeric	1711	1708	TRUE	0.002337814143776	1711	0	0	1705	0.996493278784337	"""70.662""; ""88.622""; ""166.333"""	0.001168907071888	385a8fbaa7d49939665ffb43480b1892	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE						TRUE										
ACS_PCT_MEDICAID_ANY64	numeric	1711	1710	TRUE	0.000584453535944	1711	0	0	1709	0.998831092928112	"""225.972""; ""14.232""; ""15.582"""	0.001168907071888	2658028c32c23c256baf4d886e8d21db	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE				TRUE	TRUE										
